SampleID,sampleID_ENA,Campaign,SiteLabel,EventID,Logsheet,Objective,DateTime,Latitude,Longitude,Depth,Depth_unit,Country,CoastDistance,LME,LMEDistance,MarineRegion,MRGID,ENVIRO_Biome,ENVIRO_Feature,ENVIRO_Material,EVENT_device,SAMPLE_description,SAMPLE_platform,SAMPLE_Protocol,SAMPLE_Quantity,SAMPLE_Container,SAMPLE_Content,SAMPLE_FilterUpper,SAMPLE_FilterLower,SAMPLE_TreatmentChemicals,SAMPLE_TreatmentStorage,BiosampleAccessionNumber,SampleAssessionNumber,Temperature,Temperature_unit,Temperature_flag,Salinity,Salinity_unit,Salinity_flag,pH,pH_unit,pH_flag,PO43,PO43_unit,PO43_flag,NO3,NO3_unit,NO3_flag,POC,POC_unit,POC_flag,NO2,NO2_unit,NO2_flag,DOC,DOC_unit,DOC_flag,NanoMicroPlankton,NanoMicroPlankton_unit,NanoMicroPlankton_flag,PAR,PAR_unit,PAR_flag,Conductivity,Conductivity_unit,Conductivity_flag,PP_C,PP_C_unit,PP_C_flag,Oxygen,Oxygen_unit,Oxygen_flag,PON,PON_unit,PON_flag,MesoMacroPlankton,MesoMacroPlankton_unit,MesoMacroPlankton_flag,BacterialProduction_C,BacterialProduction_C_unit,BacterialProduction_C_flag,DON,DON_unit,DON_flag,NH4+,NH4+_unit,NH4+_flag,SiOH4,SiOH4_unit,SiOH4_flag,Turbidity,Turbidity_unit,Turbidity_flag,Fluorometer,Fluorometer_unit,Fluorometer_flag,Chl_a,Chl_a_unit,Chl_a_flag
OSD136_2014-06_NPL022_1,OSD136_2014-06-21_0.1m_NPL022,OSD2014,OSD136,OSD136_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD136_20140621T1056Z.pdf,Jyllinge harbour has been sampled many times over the past years for bioactive bacteria and to study their interactions.,2014-06-21T10:56,55.744993,12.094845,0.1,m,DNK,455,North Sea,648,Kattegat,2374,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,10 L Nalgene flask,Filters were degraded during shipment.,Pier,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,17,centigrade,,16.2,PSU,,8.3,dimensionless,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD137_2014-06_NPL022_1,OSD137_2014-06-21_0.1m_NPL022,OSD2014,OSD137,OSD137_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD137_20140621T1401Z.pdf,Helsinore harbor is a common sampling site in Denmark. Our focus is set on isolation of bioactive marine bacteria from this site and study their interactions.,2014-06-21T14:01,56.04386,12.613306,0.1,m,DNK,344,Baltic Sea,81,Kattegat,2374,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,10 L Nalgene flask,Filters lost due to degradation during shipment.,Beach,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,20,centigrade,,17.3,PSU,,8.1,dimensionless,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD14_2014-06_NE08_1,OSD14_2014-06-23_2m_NE08,OSD2014,OSD14,OSD14_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD14_20140623T0805Z.pdf,"OSD-2014 samples were collected as part of a long term observation time series at a station labelled by SOMLIT since 1997. The Observation Service of Arago Laboratory (SOLA, OOB) focuses on overall issues directly concerning the impact of global change on coastal areas and its relative importance regarding local human activities (global vs local). The SOLA site was selected for Temporal monitoring of Mediterranean coastal ecosystem dynamics, as representative of a normal situation, whereby a typology of seasonal and interannual fluctuations could be defined via the monitoring of relevant parameters on appropriate time scales.",2014-06-23T07:40,42.49,3.14,2,m,FRA,153,Mediterranean Sea,0,Mediterranean Sea - Western Basin,4279,marine biome ENVO:00000447,surface water ENVO:00002042,saline water ENVO:00002010,Profile was performed with a SBE19 SeaCat Conductivity-Temperature Depth (CTD) system manufactured by Sea-Bird Electronics Inc. Water samples were collected with a 12L Niskin Bottle,ENVO:00000447 (Marine Biome) ENVO:00002042 (Surface Water) ENVO:00002010 ( Seawater),not present,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,20.4522,centigrade,,37.833,PSU,,8.278,dimensionless,,0.01,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD14_2014-06_NPL022_1,OSD14_2014-06-23_2m_NPL022,OSD2014,OSD14,OSD14_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD14_20140623T0805Z.pdf,"OSD-2014 samples were collected as part of a long term observation time series at a station labelled by SOMLIT since 1997. The Observation Service of Arago Laboratory (SOLA, OOB) focuses on overall issues directly concerning the impact of global change on coastal areas and its relative importance regarding local human activities (global vs local). The SOLA site was selected for Temporal monitoring of Mediterranean coastal ecosystem dynamics, as representative of a normal situation, whereby a typology of seasonal and interannual fluctuations could be defined via the monitoring of relevant parameters on appropriate time scales.",2014-06-23T07:40,42.49,3.14,2,m,FRA,523,Mediterranean Sea,0,Mediterranean Sea - Western Basin,4279,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Profile was performed with a SBE19 SeaCat Conductivity-Temperature Depth (CTD) system manufactured by Sea-Bird Electronics Inc. Water samples were collected with a 12L Niskin Bottle,ENVO:00000447 (Marine Biome) ENVO:00002042 (Surface Water) ENVO:00002010 ( Seawater),not present,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275633,ERS667654,20.422,centigrade,,37.833,PSU,,8.278,dimensionless,,0.01,micromol/l,,0.02,micromol/l,,1423.686,microgram/l,,0.01,micromol/l,,not present,not present,,not present,not present,,not present,not present,,51.85,mS/cm,,not present,not present,,224.06,micromol/kg,,236.43,micromol/l,,not present,not present,,2.63,mg/m^3/day,,not present,not present,,0.074,micromol/l,,0.6,micromol/l,,0.44,FTU,,0.26,V,,0.26,mg/m^3,
OSD141_2014-06_NE08_1,OSD141_2014-06-20_5m_NE08,OSD2014,OSD141,OSD141_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD141_20140620T0845Z.pdf,OSD 2014,2014-06-20T08:45,60.16121,5.11504,5,m,NOR,1557,North Sea,0,North Sea,2350,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Environmental parameters were measured with CTD. Plastic tubes were used for pumping watersamples.,Coastal northern atlantic water,Boat,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275513,ERS667527,10.13,centigrade,,30.67,PSU,,7.91,dimensionless,,0.2,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,980000000000,count/m^3,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.4,micromol/l,,0.59,FTU,,not present,not present,,not present,not present,
OSD141_2014-06_NPL022_1,OSD141_2014-06-20_5m_NPL022,OSD2014,OSD141,OSD141_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD141_20140620T0845Z.pdf,OSD 2014,2014-06-20T08:45,60.16121,5.11504,5,m,NOR,1557,North Sea,0,North Sea,2350,marine biome ENVO:00000447,fjord ENVO:00000039,sea water ENVO:00002149,Environmental parameters were measured with CTD. Plastic tubes were used for pumping watersamples.,Coastal northern atlantic water,Boat,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275514,ERS667528,10.13,centigrade,,30.67,PSU,,7.91,dimensionless,,0.2,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,980000000000,count/m^3,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.4,micromol/l,,0.59,FTU,,not present,not present,,not present,not present,
OSD142_2014-06_NE08_1,OSD142_2014-06-21_1m_NE08,OSD2014,OSD142,OSD142_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD142_20140621T1500Z.pdf,"Water quality time series at Grays Reef National Marine Sanctuary, NBDC station 41008",2014-06-21T15:00,31.383607,-80.866685,1,m,USA,32673,Southeast U.S. Continental Shelf,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Niskin bottle to collect water. In situ WetLabs sensors at 1M,Surface water sample collected at 1 M,Research Vessel Sam Gray,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275511,ERS667525,27.43,centigrade,,35.85,PSU,,7.97,dimensionless,,not present,not present,,0.3,micromol/l,,not present,not present,,not present,not present,,112.2,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,7.97,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,6.9,mg/l,,0.1,micromol/l,,not present,not present,,0.8325,FTU,,5.5,V,,not present,not present,
OSD142_2014-06_NPL022_1,OSD142_2014-06-21_1m_NPL022,OSD2014,OSD142,OSD142_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD142_20140621T1500Z.pdf,"Water quality time series at Grays Reef National Marine Sanctuary, NBDC station 41008",2014-06-21T15:00,31.383607,-80.866685,1,m,USA,32673,Southeast U.S. Continental Shelf,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,continental shelf ENVO:00000223,sea water ENVO:00002149,Niskin bottle to collect water. In situ WetLabs sensors at 1M,Surface water sample collected at 1 M,Research Vessel Sam Gray,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275512,ERS667526,27.43,centigrade,,35.85,PSU,,7.97,dimensionless,,not present,not present,,0.3,micromol/l,,not present,not present,,not present,not present,,112.21,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,7.99,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,6.9,mg/l,,0.1,micromol/l,,not present,not present,,0.8325,FTU,,5.5,V,,not present,not present,
OSD143_2014-06_NE08_1,OSD143_2014-06-21_1m_NE08,OSD2014,OSD143,OSD143_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD143_20140621T1900Z.pdf,Collected in conjunction with a time-series in the Skidaway River Estuary (SRiMP),2014-06-21T19:00,31.98282,-81.01667,1,m,USA,0,Southeast U.S. Continental Shelf,6429,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,"Permanent dock, Skidaway Institute of Oceanography Main Dock","4 replicate samples of whole water (0.3L) filtered onto 0.2 um Sterivex cartridge filters, place in Whirlpak bag and stored at -80 deg C",Long-term observation of a subtropical estuary in Southeastern US. OBJECTIVE is to detect trends attributable to human activity and climate variability.,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275510,ERS667524,30.79,centigrade,,26.58,PSU,,7.53,dimensionless,,0.7,micromol/l,,0.1,micromol/l,,not present,not present,,not present,not present,,268.4,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,5.85,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,15.4,mg/l,,0.2,micromol/l,,not present,not present,,20.4,FTU,,5.3,V,,4.97,mg/m^3,
OSD143_2014-06_NPL022_1,OSD143_2014-06-21_1m_NPL022,OSD2014,OSD143,OSD143_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD143_20140621T1845Z.pdf,Long-term time series program to explore the impact of human and climate variability on pelagic processes in a subtropical estuary,2014-06-21T18:45,31.98282,-81.01667,1,m,USA,0,Southeast U.S. Continental Shelf,6429,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,sea water ENVO:00002149,"Manta2 6-parameter water quality sonde, Niskin bottle",Replicate 0.3L water samples collected onto 0.8 um filters and store in individual 5 ml cryovials.,"Permanent dock, Skidaway Institute of Oceanography main dock",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275509,ERS667523,30.79,centigrade,,26.58,PSU,,7.53,dimensionless,,0.7,micromol/l,,0.1,micromol/l,,not present,not present,,not present,not present,,268.4,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,5.85,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,15.4,mg/l,,0.2,micromol/l,,not present,not present,,20.4,FTU,,5.3,V,,4.97,mg/m^3,
OSD144_2014-06_NPL022_1,OSD144_2014-06-24_0m_NPL022,OSD2014,OSD144,OSD144_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD144_20140624T0608Z.pdf,OSD,2014-06-24T06:08,21.26882,-157.72231,0,m,USA,708,Insular Pacific-Hawaiian,0,North Pacific Ocean,1908,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,ACID WASHED BUCKET,ACID WASHED BUCKET SCOOPED SURFACE WATER,BOAT,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275508,ERS667522,25.8,centigrade,,35,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD145_2014-06_NPL022_1,OSD145_2014-06-21_0m_NPL022,OSD2014,OSD145,OSD145_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD145_20140621T1045Z.pdf,Contribute as organized citizen scientist group to OSD.,2014-06-21T10:45,51.361369,3.118856,0,m,BEL,4528,North Sea,0,North Sea,2350,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Sterile flask from surface water,"OSD145stationBlankenbergeSelf-propelled small boat, MacilkNiskin2014-06-21T11:45:00Z","Self-propelled small boat, Macilk",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275507,ERS667521,17,centigrade,,100,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD146_2014-06_NE08_1,OSD146_2014-06-21_5m_NE08,OSD2014,OSD146,OSD146_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD146_20140621T0542Z.pdf,"OSD sampling 2014 Fram Strait, Arctic Ocean",2014-06-21T05:42,78.453333,-2.829667,5,m,SJM,295570,Greenland Sea,0,Greenland Sea,2356,marine biome ENVO:00000447,surface water ENVO:00002042,saline water ENVO:00002010,CTD rosette,water sample obtained with CTD rosette,RV Polarstern,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,-1.6,centigrade,,33.2,PSU,,not present,not present,,0.85,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD146_2014-06_NPL022_1,OSD146_2014-06-21_5m_NPL022,OSD2014,OSD146,OSD146_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD146_20140621T0542Z.pdf,"OSD sampling 2014 Fram Strait, Arctic Ocean",2014-06-21T05:42,78.453333,-2.829667,5,m,SJM,295570,Greenland Sea,0,Greenland Sea,2356,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,CTD rosette,water sample obtained with CTD rosette,RV Polarstern,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275506,ERS667520,-1.61,centigrade,,33.78,PSU,,not present,not present,,0.85,micromol/l,,5.4,micromol/l,,not present,not present,,0.08,micromol/l,,not present,not present,,not present,not present,,not present,not present,,26.78,mS/cm,,not present,not present,,358.41,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,3.26,micromol/l,,3.8,micromol/l,,not present,not present,,not present,not present,,not present,not present,
OSD147_2014-06_NPL022_1,OSD147_2014-06-21_0m_NPL022,OSD2014,OSD147,OSD147_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD147_20140621T0533Z.pdf,"To understand the ocean water biodiversity in terms of chemically and microbiologically to explore the possibility to contribute to the blue economy through the identification of novel, ocean-derived biotechnologies.",2014-06-21T05:33,8.873739,81.077344,0,m,LKA,1103,Bay of Bengal,0,Bay of Bengal,4273,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,"10L- Plastic bucket used to collect seawater from the surface. Multiparameter used to measure Conductivity, DO, pH and temperature. Refractometer used to measure salinity","surface water sample from sea off Pulmoddai, Sri Lanka",Seawater samples were collected from the location which is about 1.5-2 km away from the coast. A small boat with outboard engine used to reached to the location.,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275505,ERS667519,28.8,centigrade,,33,PSU,,8.06,dimensionless,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,53.2,mS/cm,,not present,not present,,229.2,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD148_2014-06_NPL022_1,OSD148_2014-06-21_0m_NPL022,OSD2014,OSD148,OSD148_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD148_20140621T0845Z.pdf,Integration of general public Coupling of Citclops data,2014-06-21T08:45,53.580926,8.148636,0,m,DEU,254,North Sea,0,North Sea,2350,estuarine biome ENVO:01000020,surface water ENVO:00002042,sea water ENVO:00002149,"Free falling water sampler (General Oceanics, Niskin sampling bottle)","1) discrete water sample with free falling water sampler 2) filtration of sample with vaccum pump, Sterivex filter used 3) immediate freezing at -20C",SDN:L06:31 FB Otzum,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275504,ERS667518,17.77,centigrade,,31.14,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,4060,mS/cm,,not present,not present,,9.1,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,6.69,V,,not present,not present,
OSD149_2014-06_NE08_1,OSD149_2014-06-21_0m_NE08,OSD2014,OSD149,OSD149_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD149_20140621T1440Z.pdf,Participate at OSD june 2014,2014-06-21T14:40,-34.616,-54.266,0,m,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Acid rinsed plastic Carboys,Coastal lagoon North,"Zodiac, carboys",NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,10.98,centigrade,,14.3,PSU,,not present,not present,,not present,not present,,3.8,micromol/l,,not present,not present,,not present,not present,,383.333,micromol/l,,not present,not present,,not present,not present,,17.33,mS/cm,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,7.7,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD149_2014-06_NPL022_1,OSD149_2014-06-21_0m_NPL022,OSD2014,OSD149,OSD149_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD149_20140621T1440Z.pdf,Participate at OSD june 2014,2014-06-21T14:40,-34.616,-54.266,0,m,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,lagoon ENVO:00000038,coastal sea water ENVO:00002150,Acid rinsed plastic Carboys,Coastal lagoon North,"Zodiac, carboys",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,ERS667517,10.98,centigrade,,14.3,PSU,,not present,not present,,not present,not present,,3.8,micromol/l,,not present,not present,,not present,not present,,383.333,micromol/l,,not present,not present,,not present,not present,,20940,mS/cm,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,7.7,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD15_2014-06_NPL022_1,OSD15_2014-06-21_0m_NPL022,OSD2014,OSD15,OSD15_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD15_20140621T0730Z.pdf,For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water,2014-06-21T07:30,43.686111,7.31567,0,m,FRA,529,Mediterranean Sea,0,Mediterranean Sea - Western Basin,4279,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Niskin bottle and CTD,NW Mediterranea Sea-surface water sample form entreance of Villefranche Bay,RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV),NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275632,ERS667653,21.778,centigrade,,37.9702,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,4.84812,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.746,V,,not present,not present,
OSD15_2014-06_NPL022_2,OSD15_2014-06-21_50m_NPL022,OSD2014,OSD15,OSD15_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD15_20140621T0730Z.pdf,For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water,2014-06-21T07:30,43.686111,7.31567,50,m,FRA,529,Mediterranean Sea,0,Mediterranean Sea - Western Basin,4279,marine biome ENVO:00000447,sea water ENVO:00002149,sea water ENVO:00002149,Niskin bottle and CTD,NW Mediterranea Sea-surface water sample form entreance of Villefranche Bay,RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV),NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275631,ERS667652,16.0522,centigrade,,37.981,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,5.43573,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.0936,V,,not present,not present,
OSD150_2014-06_NE08_1,OSD150_2014-06-21_0m_NE08,OSD2014,OSD150,OSD150_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD150_20140621T1500Z.pdf,Participation at OSD june 2014,2014-06-21T15:00,-34.666,-54.2752,0,m,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,lagoon ENVO:00000038,coastal sea water ENVO:00002150,Acid rinsed plastic Carboys,Costal Rochas lagoon,"Zodiac, carboys",NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,9.99,centigrade,,32.86,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD150_2014-06_NPL022_1,OSD150_2014-06-21_0m_NPL022,OSD2014,OSD150,OSD150_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD150_20140621T1500Z.pdf,Participation at OSD june 2014,2014-06-21T15:00,-34.666,-54.2752,0,m,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,lagoon ENVO:00000038,coastal sea water ENVO:00002150,Acid rinsed plastic Carboys,Costal Rochas lagoon,"Zodiac, carboys",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3282988,ERS667515,9.99,centigrade,,18,PSU,,not present,not present,,not present,not present,,3.5,micromol/l,,not present,not present,,not present,not present,,366.667,micromol/l,,not present,not present,,not present,not present,,20.94,mS/cm,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,11.2,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD151_2014-06_NE08_1,OSD151_2014-06-21_0m_NE08,OSD2014,OSD151,OSD151_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD151_20140621T1430Z.pdf,Participation at OSD june 2014,2014-06-21T14:30,-34.7,-54.266,0,m,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Acid rinsed plastic Carboys,Many particles in the water,"Zodiac, carboys",NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,11.67,centigrade,,32.86,PSU,,8.16,dimensionless,,not present,not present,,21.7,micromol/l,,not present,not present,,1.1,micromol/l,,233.333,micromol/l,,not present,not present,,not present,not present,,37.5,mS/cm,,not present,not present,,696.7,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,11.2,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD151_2014-06_NPL022_1,OSD151_2014-06-21_0m_NPL022,OSD2014,OSD151,OSD151_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD151_20140621T1430Z.pdf,Participation at OSD june 2014,2014-06-21T14:30,-34.7,-54.266,0,m,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Acid rinsed plastic Carboys,Many particles in the water,"Zodiac, carboys",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3282986,ERS667514,11.67,centigrade,,32.86,PSU,,8.16,dimensionless,,not present,not present,,21.7,micromol/l,,not present,not present,,1.1,micromol/l,,233.333,micromol/l,,not present,not present,,not present,not present,,37.5,mS/cm,,not present,not present,,15.6,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,11.2,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
