SampleID,Campaign,SiteLabel,EventID,Logsheet,Objective,DateTime,Latitude,Longitude,Depth,Country,CoastDistance,LME,LMEDistance,MarineRegion,MRGID,ENVIRO_Biome,ENVIRO_Feature,ENVIRO_Material,EVENT_device,SAMPLE_description,SAMPLE_platform,SAMPLE_Protocol,SAMPLE_Quantity,SAMPLE_Container,SAMPLE_Content,SAMPLE_FilterUpper,SAMPLE_FilterLower,SAMPLE_TreatmentChemicals,SAMPLE_TreatmentStorage,BiosampleAccessionNumber,SampleAssessionNumber,Temperature,Salinity,pH,PO43,NO3,POC,NO2,DOC,NanoMicroPlankton,PAR,Conductivity,PP_C,Oxygen,PON,MesoMacroPlankton,BacterialProduction_C,DON,NH4+,SiOH4,Turbidity,Fluorometer,Chl_a
OSD13_2014-06_NPL022_1,OSD2014,OSD13,OSD13_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD13_20140621T0630Z.pdf,The link between bacterial diversity and microbial community function in the unique Black Sea is very interesting and important.,2014-06-21T06:30,43.185,27.936667,0,BGR,779,Black Sea,0,Black Sea,3319,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Nansen bottle,Pouring rain for days before sampling.,research vessel Akademik,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275634,ERS667655,22.87,12.6,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD130_2014-06_NPL022_1,OSD2014,OSD130,OSD130_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD130_20140621T1141Z.pdf,"Sampling of coastal waves, Eyjafjordur",2014-06-21T11:41,66.1316,-18.7902,1,ISL,170,Iceland Shelf and Sea,345,Greenland Sea,2356,marine biome ENVO:00000447,fjord ENVO:00000039,coastal sea water ENVO:00002150,Plastic containers 5 L,Surface sampling at 1 m depth,boat,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275521,ERS667535,10.1,48,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD131_2014-06_NPL022_1,OSD2014,OSD131,OSD131_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD131_20140621T0824Z.pdf,Black sea salinity is unique and bacterial diversity here is still in larger scale unstudied. In coastal zones this is even a more severe problem as these are with high ecological and public importance. Our interest are bacterial groups involved in biogeochemical processes in sediments and their interaction with the upstanding water column.,2014-06-21T08:24,42.413806,27.669,1,BGR,not present,not present,not present,Black Sea,3319,not present ,not present,not present,Niskin bottle,ENVO:00000447 marine biome,"Research vessel, LEM",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275520,ERS667534,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD132_2014-06_NE08_1,OSD2014,OSD132,OSD132_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD132_20140622T0845Z.pdf,OSD sampling day,2014-06-22T08:45,32.0694,34.843,0.5,ISR,0,Mediterranean Sea,7736,Mediterranean Sea - Eastern Basin,4280,marine biome ENVO:00000447,surface water ENVO:00002042,oligotrophic water ENVO:00002223,Plastic containers 5 L,Sampling for OSD,Beach,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,27.3,39.35,8.18,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD132_2014-06_NPL022_1,OSD2014,OSD132,OSD132_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD132_20140622T0845Z.pdf,OSD sampling day,2014-06-22T08:45,32.0694,34.843,0.5,ISR,0,Mediterranean Sea,7736,Mediterranean Sea - Eastern Basin,4280,marine biome ENVO:00000447,surface water ENVO:00002042,oligotrophic water ENVO:00002223,Plastic containers 5 L,Sampling for OSD,Beach,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275519,ERS667533,27.3,39.35,8.18,not present,1.57,not present,0.06,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,2.56,not present,not present,0.22
OSD133_2014-06_NPL022_1,OSD2014,OSD133,OSD133_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD133_20140621T0724Z.pdf,Water samples taken at surface of the Robben Island Site with a Niskin bottle and CTD profile dips taken at each site using XRX620 CTD.,2014-06-21T07:24,-33.897069,18.386825,0,ZAF,312,Benguela Current,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,"5L Niskin bottle, 10L plastic bottles, XRX620 CTD.",Particulate matter,Robben Island,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275518,ERS667532,15.06,35.16,6.5,not present,not present,not present,not present,not present,not present,not present,not present,not present,95.87,not present,not present,not present,not present,not present,not present,0.56,6.48,not present
OSD135_2014-06_NPL022_1,OSD2014,OSD135,OSD135_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD135_20140621T0303Z.pdf,TO CONTRIBUTE TO THE KNOWLEDGE OF MARINE MICROBIAL DIVERSITY AND FUNCTIONS IN WORLDWIDE OCEANS,2014-06-21T03:03,27.9011,-110.8717,1,MEX,0,Gulf of California,0,Gulf of California,4314,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,5L BUCKET,1M SURFACE OF SEA WATER FROM GUAYMAS BAY,BOAT-KAYAK,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,31.2,37.4,7.9,0.957,1.833,not present,1.087,not present,not present,not present,56.55,not present,322.813,not present,not present,not present,not present,24.917,not present,2.25,not present,not present
OSD136_2014-06_NPL022_1,OSD2014,OSD136,OSD136_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD136_20140621T1056Z.pdf,Jyllinge harbour has been sampled many times over the past years for bioactive bacteria and to study their interactions.,2014-06-21T10:56,55.744993,12.094845,0.1,DNK,455,North Sea,648,Kattegat,2374,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,10 L Nalgene flask,Filters were degraded during shipment.,Pier,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,17,16.2,8.3,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD137_2014-06_NPL022_1,OSD2014,OSD137,OSD137_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD137_20140621T1401Z.pdf,Helsinore harbor is a common sampling site in Denmark. Our focus is set on isolation of bioactive marine bacteria from this site and study their interactions.,2014-06-21T14:01,56.04386,12.613306,0.1,DNK,344,Baltic Sea,81,Kattegat,2374,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,10 L Nalgene flask,Filters lost due to degradation during shipment.,Beach,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,20,17.3,8.1,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD14_2014-06_NE08_1,OSD2014,OSD14,OSD14_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD14_20140623T0805Z.pdf,"OSD-2014 samples were collected as part of a long term observation time series at a station labelled by SOMLIT since 1997. The Observation Service of Arago Laboratory (SOLA, OOB) focuses on overall issues directly concerning the impact of global change on coastal areas and its relative importance regarding local human activities (global vs local). The SOLA site was selected for Temporal monitoring of Mediterranean coastal ecosystem dynamics, as representative of a normal situation, whereby a typology of seasonal and interannual fluctuations could be defined via the monitoring of relevant parameters on appropriate time scales.",2014-06-23T07:40,42.49,3.14,2,FRA,153,Mediterranean Sea,0,Mediterranean Sea - Western Basin,4279,marine biome ENVO:00000447,surface water ENVO:00002042,saline water ENVO:00002010,Profile was performed with a SBE19 SeaCat Conductivity-Temperature Depth (CTD) system manufactured by Sea-Bird Electronics Inc. Water samples were collected with a 12L Niskin Bottle,ENVO:00000447 (Marine Biome) ENVO:00002042 (Surface Water) ENVO:00002010 ( Seawater),not present,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,20.4522,37.833,8.278,0.01,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD14_2014-06_NPL022_1,OSD2014,OSD14,OSD14_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD14_20140623T0805Z.pdf,"OSD-2014 samples were collected as part of a long term observation time series at a station labelled by SOMLIT since 1997. The Observation Service of Arago Laboratory (SOLA, OOB) focuses on overall issues directly concerning the impact of global change on coastal areas and its relative importance regarding local human activities (global vs local). The SOLA site was selected for Temporal monitoring of Mediterranean coastal ecosystem dynamics, as representative of a normal situation, whereby a typology of seasonal and interannual fluctuations could be defined via the monitoring of relevant parameters on appropriate time scales.",2014-06-23T07:40,42.49,3.14,2,FRA,523,Mediterranean Sea,0,Mediterranean Sea - Western Basin,4279,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Profile was performed with a SBE19 SeaCat Conductivity-Temperature Depth (CTD) system manufactured by Sea-Bird Electronics Inc. Water samples were collected with a 12L Niskin Bottle,ENVO:00000447 (Marine Biome) ENVO:00002042 (Surface Water) ENVO:00002010 ( Seawater),not present,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275633,ERS667654,20.422,37.833,8.278,0.01,0.02,1423.686,0.01,not present,not present,not present,51.85,not present,224.06,236.43,not present,2.63,not present,0.074,0.6,0.44,0.26,0.26
OSD141_2014-06_NE08_1,OSD2014,OSD141,OSD141_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD141_20140620T0845Z.pdf,OSD 2014,2014-06-20T08:45,60.16121,5.11504,5,NOR,1557,North Sea,0,North Sea,2350,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Environmental parameters were measured with CTD. Plastic tubes were used for pumping watersamples.,Coastal northern atlantic water,Boat,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275513,ERS667527,10.13,30.67,7.91,0.2,not present,not present,not present,not present,980000000000,not present,not present,not present,not present,not present,not present,not present,not present,not present,0.4,0.59,not present,not present
OSD141_2014-06_NPL022_1,OSD2014,OSD141,OSD141_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD141_20140620T0845Z.pdf,OSD 2014,2014-06-20T08:45,60.16121,5.11504,5,NOR,1557,North Sea,0,North Sea,2350,marine biome ENVO:00000447,fjord ENVO:00000039,sea water ENVO:00002149,Environmental parameters were measured with CTD. Plastic tubes were used for pumping watersamples.,Coastal northern atlantic water,Boat,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275514,ERS667528,10.13,30.67,7.91,0.2,not present,not present,not present,not present,980000000000,not present,not present,not present,not present,not present,not present,not present,not present,not present,0.4,0.59,not present,not present
OSD142_2014-06_NE08_1,OSD2014,OSD142,OSD142_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD142_20140621T1500Z.pdf,"Water quality time series at Grays Reef National Marine Sanctuary, NBDC station 41008",2014-06-21T15:00,31.383607,-80.866685,1,USA,32673,Southeast U.S. Continental Shelf,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Niskin bottle to collect water. In situ WetLabs sensors at 1M,Surface water sample collected at 1 M,Research Vessel Sam Gray,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275511,ERS667525,27.43,35.85,7.97,not present,0.3,not present,not present,112.2,not present,not present,not present,not present,7.97,not present,not present,not present,6.9,0.1,not present,0.8325,5.5,not present
OSD142_2014-06_NPL022_1,OSD2014,OSD142,OSD142_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD142_20140621T1500Z.pdf,"Water quality time series at Grays Reef National Marine Sanctuary, NBDC station 41008",2014-06-21T15:00,31.383607,-80.866685,1,USA,32673,Southeast U.S. Continental Shelf,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,continental shelf ENVO:00000223,sea water ENVO:00002149,Niskin bottle to collect water. In situ WetLabs sensors at 1M,Surface water sample collected at 1 M,Research Vessel Sam Gray,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275512,ERS667526,27.43,35.85,7.97,not present,0.3,not present,not present,112.21,not present,not present,not present,not present,7.99,not present,not present,not present,6.9,0.1,not present,0.8325,5.5,not present
OSD143_2014-06_NE08_1,OSD2014,OSD143,OSD143_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD143_20140621T1900Z.pdf,Collected in conjunction with a time-series in the Skidaway River Estuary (SRiMP),2014-06-21T19:00,31.98282,-81.01667,1,USA,0,Southeast U.S. Continental Shelf,6429,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,"Permanent dock, Skidaway Institute of Oceanography Main Dock","4 replicate samples of whole water (0.3L) filtered onto 0.2 um Sterivex cartridge filters, place in Whirlpak bag and stored at -80 deg C",Long-term observation of a subtropical estuary in Southeastern US. OBJECTIVE is to detect trends attributable to human activity and climate variability.,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275510,ERS667524,30.79,26.58,7.53,0.7,0.1,not present,not present,268.4,not present,not present,not present,not present,5.85,not present,not present,not present,15.4,0.2,not present,20.4,5.3,4.97
OSD143_2014-06_NPL022_1,OSD2014,OSD143,OSD143_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD143_20140621T1845Z.pdf,Long-term time series program to explore the impact of human and climate variability on pelagic processes in a subtropical estuary,2014-06-21T18:45,31.98282,-81.01667,1,USA,0,Southeast U.S. Continental Shelf,6429,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,sea water ENVO:00002149,"Manta2 6-parameter water quality sonde, Niskin bottle",Replicate 0.3L water samples collected onto 0.8 um filters and store in individual 5 ml cryovials.,"Permanent dock, Skidaway Institute of Oceanography main dock",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275509,ERS667523,30.79,26.58,7.53,0.7,0.1,not present,not present,268.4,not present,not present,not present,not present,5.85,not present,not present,not present,15.4,0.2,not present,20.4,5.3,4.97
OSD144_2014-06_NPL022_1,OSD2014,OSD144,OSD144_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD144_20140624T0608Z.pdf,OSD,2014-06-24T06:08,21.26882,-157.72231,0,USA,708,Insular Pacific-Hawaiian,0,North Pacific Ocean,1908,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,ACID WASHED BUCKET,ACID WASHED BUCKET SCOOPED SURFACE WATER,BOAT,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275508,ERS667522,25.8,35,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD145_2014-06_NPL022_1,OSD2014,OSD145,OSD145_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD145_20140621T1045Z.pdf,Contribute as organized citizen scientist group to OSD.,2014-06-21T10:45,51.361369,3.118856,0,BEL,4528,North Sea,0,North Sea,2350,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Sterile flask from surface water,"OSD145stationBlankenbergeSelf-propelled small boat, MacilkNiskin2014-06-21T11:45:00Z","Self-propelled small boat, Macilk",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275507,ERS667521,17,100,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD146_2014-06_NE08_1,OSD2014,OSD146,OSD146_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD146_20140621T0542Z.pdf,"OSD sampling 2014 Fram Strait, Arctic Ocean",2014-06-21T05:42,78.453333,-2.829667,5,SJM,295570,Greenland Sea,0,Greenland Sea,2356,marine biome ENVO:00000447,surface water ENVO:00002042,saline water ENVO:00002010,CTD rosette,water sample obtained with CTD rosette,RV Polarstern,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,-1.6,33.2,not present,0.85,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD146_2014-06_NPL022_1,OSD2014,OSD146,OSD146_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD146_20140621T0542Z.pdf,"OSD sampling 2014 Fram Strait, Arctic Ocean",2014-06-21T05:42,78.453333,-2.829667,5,SJM,295570,Greenland Sea,0,Greenland Sea,2356,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,CTD rosette,water sample obtained with CTD rosette,RV Polarstern,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275506,ERS667520,-1.61,33.78,not present,0.85,5.4,not present,0.08,not present,not present,not present,26.78,not present,358.41,not present,not present,not present,not present,3.26,3.8,not present,not present,not present
OSD147_2014-06_NPL022_1,OSD2014,OSD147,OSD147_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD147_20140621T0533Z.pdf,"To understand the ocean water biodiversity in terms of chemically and microbiologically to explore the possibility to contribute to the blue economy through the identification of novel, ocean-derived biotechnologies.",2014-06-21T05:33,8.873739,81.077344,0,LKA,1103,Bay of Bengal,0,Bay of Bengal,4273,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,"10L- Plastic bucket used to collect seawater from the surface. Multiparameter used to measure Conductivity, DO, pH and temperature. Refractometer used to measure salinity","surface water sample from sea off Pulmoddai, Sri Lanka",Seawater samples were collected from the location which is about 1.5-2 km away from the coast. A small boat with outboard engine used to reached to the location.,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275505,ERS667519,28.8,33,8.06,not present,not present,not present,not present,not present,not present,not present,53.2,not present,229.2,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD148_2014-06_NPL022_1,OSD2014,OSD148,OSD148_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD148_20140621T0845Z.pdf,Integration of general public Coupling of Citclops data,2014-06-21T08:45,53.580926,8.148636,0,DEU,254,North Sea,0,North Sea,2350,estuarine biome ENVO:01000020,surface water ENVO:00002042,sea water ENVO:00002149,"Free falling water sampler (General Oceanics, Niskin sampling bottle)","1) discrete water sample with free falling water sampler 2) filtration of sample with vaccum pump, Sterivex filter used 3) immediate freezing at -20C",SDN:L06:31 FB Otzum,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275504,ERS667518,17.77,31.14,not present,not present,not present,not present,not present,not present,not present,not present,4060,not present,9.1,not present,not present,not present,not present,not present,not present,not present,6.69,not present
OSD149_2014-06_NE08_1,OSD2014,OSD149,OSD149_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD149_20140621T1440Z.pdf,Participate at OSD june 2014,2014-06-21T14:40,-34.616,-54.266,0,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Acid rinsed plastic Carboys,Coastal lagoon North,"Zodiac, carboys",NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,10.98,14.3,not present,not present,3.8,not present,not present,383.333,not present,not present,17.33,not present,not present,not present,not present,not present,not present,7.7,not present,not present,not present,not present
OSD149_2014-06_NPL022_1,OSD2014,OSD149,OSD149_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD149_20140621T1440Z.pdf,Participate at OSD june 2014,2014-06-21T14:40,-34.616,-54.266,0,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,lagoon ENVO:00000038,coastal sea water ENVO:00002150,Acid rinsed plastic Carboys,Coastal lagoon North,"Zodiac, carboys",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,ERS667517,10.98,14.3,not present,not present,3.8,not present,not present,383.333,not present,not present,20940,not present,not present,not present,not present,not present,not present,7.7,not present,not present,not present,not present
OSD15_2014-06_NPL022_1,OSD2014,OSD15,OSD15_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD15_20140621T0730Z.pdf,For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water,2014-06-21T07:30,43.686111,7.31567,0,FRA,529,Mediterranean Sea,0,Mediterranean Sea - Western Basin,4279,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Niskin bottle and CTD,NW Mediterranea Sea-surface water sample form entreance of Villefranche Bay,RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV),NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275632,ERS667653,21.778,37.9702,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,4.84812,not present,not present,not present,not present,not present,not present,not present,0.746,not present
OSD15_2014-06_NPL022_2,OSD2014,OSD15,OSD15_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD15_20140621T0730Z.pdf,For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water,2014-06-21T07:30,43.686111,7.31567,50,FRA,529,Mediterranean Sea,0,Mediterranean Sea - Western Basin,4279,marine biome ENVO:00000447,sea water ENVO:00002149,sea water ENVO:00002149,Niskin bottle and CTD,NW Mediterranea Sea-surface water sample form entreance of Villefranche Bay,RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV),NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275631,ERS667652,16.0522,37.981,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,5.43573,not present,not present,not present,not present,not present,not present,not present,0.0936,not present
OSD150_2014-06_NE08_1,OSD2014,OSD150,OSD150_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD150_20140621T1500Z.pdf,Participation at OSD june 2014,2014-06-21T15:00,-34.666,-54.2752,0,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,lagoon ENVO:00000038,coastal sea water ENVO:00002150,Acid rinsed plastic Carboys,Costal Rochas lagoon,"Zodiac, carboys",NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,9.99,32.86,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD150_2014-06_NPL022_1,OSD2014,OSD150,OSD150_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD150_20140621T1500Z.pdf,Participation at OSD june 2014,2014-06-21T15:00,-34.666,-54.2752,0,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,lagoon ENVO:00000038,coastal sea water ENVO:00002150,Acid rinsed plastic Carboys,Costal Rochas lagoon,"Zodiac, carboys",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3282988,ERS667515,9.99,18,not present,not present,3.5,not present,not present,366.667,not present,not present,20.94,not present,not present,not present,not present,not present,not present,11.2,not present,not present,not present,not present
OSD151_2014-06_NE08_1,OSD2014,OSD151,OSD151_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD151_20140621T1430Z.pdf,Participation at OSD june 2014,2014-06-21T14:30,-34.7,-54.266,0,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Acid rinsed plastic Carboys,Many particles in the water,"Zodiac, carboys",NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,11.67,32.86,8.16,not present,21.7,not present,1.1,233.333,not present,not present,37.5,not present,696.7,not present,not present,not present,not present,11.2,not present,not present,not present,not present
OSD151_2014-06_NPL022_1,OSD2014,OSD151,OSD151_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD151_20140621T1430Z.pdf,Participation at OSD june 2014,2014-06-21T14:30,-34.7,-54.266,0,URY,0,Patagonian Shelf,0,South Atlantic Ocean,1914,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Acid rinsed plastic Carboys,Many particles in the water,"Zodiac, carboys",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3282986,ERS667514,11.67,32.86,8.16,not present,21.7,not present,1.1,233.333,not present,not present,37.5,not present,15.6,not present,not present,not present,not present,11.2,not present,not present,not present,not present
OSD152_2014-06_NPL022_1,OSD2014,OSD152,OSD152_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD152_20140620T1650Z.pdf,Compass Buoy Station has been sampled weekly since 1992 as part of the Bedford Basin Monitoring Program,2014-06-20T16:50,44.6936,-63.6403,10,CAN,0,Scotian Shelf,0,North Atlantic Ocean,1912,neritic epipelagic zone biome ENVO:01000042,natural harbor ENVO:00000465,coastal sea water ENVO:00002150,10L Niskin,10m - cast 2,"dive vessel, Eastcom",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275503,ERS667512,8.5,30.1,8.2,not present,not present,not present,not present,not present,not present,2,3218,not present,294,not present,not present,not present,not present,not present,not present,not present,4.2,not present
OSD152_2014-06_NE08_1,OSD2014,OSD152,OSD152_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD152_20140620T1554Z.pdf,Compass Buoy Station has been sampled weekly since 1992 as part of the Bedford Basin Monitoring Program,2014-06-20T15:54,44.6936,-63.6403,1,CAN,0,Scotian Shelf,0,North Atlantic Ocean,1912,neritic epipelagic zone biome ENVO:01000042,natural harbor ENVO:00000465,coastal sea water ENVO:00002150,10L Niskin,1m - cast 1 for eukaryotes,"dive vessel, Eastcom",NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275501,ERS667510,12.8,28.9,8.2,not present,not present,not present,not present,not present,not present,2.58,3437,not present,294,not present,not present,not present,not present,not present,not present,not present,2.2,not present
